,username,text,hashtags
48,CarlosCUSNRet,"#SeguridadCiudadana | La @PNCSV capturó a Elmer Willian Velasquez, alias Spy, un peligroso pandillero que atemorizaba a la población en la colonia Urbina de San Miguel. https://t.co/rddgG8FDj0",['SeguridadCiudadana']
49,casadey56,"#SeguridadCiudadana | La @PNCSV capturó a Elmer Willian Velasquez, alias Spy, un peligroso pandillero que atemorizaba a la población en la colonia Urbina de San Miguel. https://t.co/rddgG8FDj0",['SeguridadCiudadana']
50,casadey56,"#SeguridadCiudadana | Elementos de la @FUERZARMADASV ubicaron a un miembro de una estructura criminal en la urbanización La Gloria, Mejicanos, San Salvador. El procedimiento fue entregado a la @PNCSV. https://t.co/YQGBqPZOB0",['SeguridadCiudadana']
51,casadey56,"#SeguridadCiudadana | Capturan a Raúl Ernesto Díaz Mártir, alias el Pato; y a Joaquín Steve Aguilar López, alias el Negro; en el cantón Tecuma en Izalco, Sonsonate. https://t.co/RXJTWnz2vc",['SeguridadCiudadana']
52,Rodger36472070,"#SeguridadCiudadana | Elementos de la @FUERZARMADASV ubicaron a un miembro de una estructura criminal en la urbanización La Gloria, Mejicanos, San Salvador. El procedimiento fue entregado a la @PNCSV. https://t.co/YQGBqPZOB0",['SeguridadCiudadana']
53,MPalaci68690546,"#SeguridadCiudadana | La @PNCSV capturó a Elmer Willian Velasquez, alias Spy, un peligroso pandillero que atemorizaba a la población en la colonia Urbina de San Miguel. https://t.co/rddgG8FDj0",['SeguridadCiudadana']
54,IrmaPar82290954,"#SeguridadCiudadana | La @PNCSV capturó a Elmer Willian Velasquez, alias Spy, un peligroso pandillero que atemorizaba a la población en la colonia Urbina de San Miguel. https://t.co/rddgG8FDj0",['SeguridadCiudadana']
55,leynatural78,"#SeguridadCiudadana | La @PNCSV capturó a Elmer Willian Velasquez, alias Spy, un peligroso pandillero que atemorizaba a la población en la colonia Urbina de San Miguel. https://t.co/rddgG8FDj0",['SeguridadCiudadana']
56,IrmaPar82290954,"#SeguridadCiudadana | Elementos de la @FUERZARMADASV ubicaron a un miembro de una estructura criminal en la urbanización La Gloria, Mejicanos, San Salvador. El procedimiento fue entregado a la @PNCSV. https://t.co/YQGBqPZOB0",['SeguridadCiudadana']
57,Ruben23am,"#SeguridadCiudadana | La @PNCSV capturó a Elmer Willian Velasquez, alias Spy, un peligroso pandillero que atemorizaba a la población en la colonia Urbina de San Miguel. https://t.co/rddgG8FDj0",['SeguridadCiudadana']
58,Ruben23am,"#SeguridadCiudadana | Elementos de la @FUERZARMADASV ubicaron a un miembro de una estructura criminal en la urbanización La Gloria, Mejicanos, San Salvador. El procedimiento fue entregado a la @PNCSV. https://t.co/YQGBqPZOB0",['SeguridadCiudadana']
59,RaulLopezHern20,"#SeguridadCiudadana | Elementos de la @FUERZARMADASV ubicaron a un miembro de una estructura criminal en la urbanización La Gloria, Mejicanos, San Salvador. El procedimiento fue entregado a la @PNCSV. https://t.co/YQGBqPZOB0",['SeguridadCiudadana']
60,EliasDimas514,"#SeguridadCiudadana | Elementos de la @FUERZARMADASV ubicaron a un miembro de una estructura criminal en la urbanización La Gloria, Mejicanos, San Salvador. El procedimiento fue entregado a la @PNCSV. https://t.co/YQGBqPZOB0",['SeguridadCiudadana']
61,milenioticia1,"#SeguridadCiudadana | Capturan a Raúl Ernesto Díaz Mártir, alias el Pato; y a Joaquín Steve Aguilar López, alias el Negro; en el cantón Tecuma en Izalco, Sonsonate. https://t.co/RXJTWnz2vc",['SeguridadCiudadana']
62,Rodrigo04328292,"#SeguridadCiudadana | Elementos de la @FUERZARMADASV ubicaron a un miembro de una estructura criminal en la urbanización La Gloria, Mejicanos, San Salvador. El procedimiento fue entregado a la @PNCSV. https://t.co/YQGBqPZOB0",['SeguridadCiudadana']
