,username,text,hashtags
35,ChicoBatres,"#SeguridadCiudadana | 2 armas largas y 3 cortas fueron localizadas al interior de una casa en la colonia Ciudad Jardín, San Miguel.

El inmueble era ocupado por terroristas.

El laboratorio científico de la @PNCSV determinará el origen del arsenal y su participación en crímenes. https://t.co/eqpPs0vVBZ",['SeguridadCiudadana']
36,Chemicaze1,"#SeguridadCiudadana | La @FUERZARMADASV y la @PNCSV capturó a Sarbia Maldonado Salgado, alias Gorda, perfilada como miembro de la Mao Mao y a quien se le incautó una pistola y 6 cartuchos en ctón. Plan del Pino, Cdad. Delgado, San Salvador. https://t.co/KUbSTv4oSG",['SeguridadCiudadana']
37,SanFelipeER,"#SeguridadCiudadana | Los pandilleros Wilmer Vladimir Hernández, alias Querubín, Juan Carlos Cruz, alias Títere y Aníbal Hernández Hernández, alias Toby, responderán ante la justicia por varios delitos cometidos en cantones de Cojutepeque. https://t.co/ETvfcyrN2O",['SeguridadCiudadana']
38,tuservidor77,"#SeguridadCiudadana | La @FUERZARMADASV y la @PNCSV capturó a Sarbia Maldonado Salgado, alias Gorda, perfilada como miembro de la Mao Mao y a quien se le incautó una pistola y 6 cartuchos en ctón. Plan del Pino, Cdad. Delgado, San Salvador. https://t.co/KUbSTv4oSG",['SeguridadCiudadana']
39,Notirevista503,"#SeguridadCiudadana | 2 armas largas y 3 cortas fueron localizadas al interior de una casa en la colonia Ciudad Jardín, San Miguel.

El inmueble era ocupado por terroristas.

El laboratorio científico de la @PNCSV determinará el origen del arsenal y su participación en crímenes. https://t.co/eqpPs0vVBZ",['SeguridadCiudadana']
40,GatoEnZumba,"#SeguridadCiudadana | 2 armas largas y 3 cortas fueron localizadas al interior de una casa en la colonia Ciudad Jardín, San Miguel.

El inmueble era ocupado por terroristas.

El laboratorio científico de la @PNCSV determinará el origen del arsenal y su participación en crímenes. https://t.co/eqpPs0vVBZ",['SeguridadCiudadana']
41,ultimahsv,"#SeguridadCiudadana | 2 armas largas y 3 cortas fueron localizadas al interior de una casa en la colonia Ciudad Jardín, San Miguel.

El inmueble era ocupado por terroristas.

El laboratorio científico de la @PNCSV determinará el origen del arsenal y su participación en crímenes. https://t.co/eqpPs0vVBZ",['SeguridadCiudadana']
42,casadey56,"#SeguridadCiudadana | Los pandilleros Wilmer Vladimir Hernández, alias Querubín, Juan Carlos Cruz, alias Títere y Aníbal Hernández Hernández, alias Toby, responderán ante la justicia por varios delitos cometidos en cantones de Cojutepeque. https://t.co/ETvfcyrN2O",['SeguridadCiudadana']
43,Munkia2,"#SeguridadCiudadana | La @FUERZARMADASV y la @PNCSV capturó a Sarbia Maldonado Salgado, alias Gorda, perfilada como miembro de la Mao Mao y a quien se le incautó una pistola y 6 cartuchos en ctón. Plan del Pino, Cdad. Delgado, San Salvador. https://t.co/KUbSTv4oSG",['SeguridadCiudadana']
44,Notirevista503,"#SeguridadCiudadana | Los pandilleros Wilmer Vladimir Hernández, alias Querubín, Juan Carlos Cruz, alias Títere y Aníbal Hernández Hernández, alias Toby, responderán ante la justicia por varios delitos cometidos en cantones de Cojutepeque. https://t.co/ETvfcyrN2O",['SeguridadCiudadana']
